SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,005,New York,Bronx County,1,10,87158,40397,46761,18079,19669,17291,21289,1304,1590,2318,2461,120,218,1285,1534,19036,20791,18361,22601,1793,2145,2494,2641,196,315,18773,20649,3800,3290,12385,14580,124,127,2115,2245,21,27,328,380,3981,3505,12634,14891,252,262,2223,2351,50,63,21624,26112,14279,16379,4906,6709,1180,1463,203,216,99,191,957,1154,15055,17286,5727,7710,1541,1883,271,290,146,252
050,36,005,New York,Bronx County,1,11,92734,43219,49515,18760,20977,19445,22937,1277,1482,2279,2294,182,233,1276,1592,19687,22088,20499,24294,1765,2126,2449,2484,266,363,20845,22520,4151,3745,14121,16148,118,133,2085,2060,38,35,332,399,4316,3937,14370,16476,261,318,2188,2169,73,86,22374,26995,14609,17232,5324,6789,1159,1349,194,234,144,198,944,1193,15371,18151,6129,7818,1504,1808,261,315,193,277
050,36,005,New York,Bronx County,1,12,92606,42483,50123,17896,20808,19989,23804,1121,1410,2140,2188,149,238,1188,1675,18737,21980,20960,25238,1597,2075,2286,2378,247,372,21921,23785,4633,4277,14837,16937,113,154,1957,1951,29,26,352,440,4807,4482,15094,17287,278,380,2059,2062,72,83,20562,26338,13263,16531,5152,6867,1008,1256,183,237,120,212,836,1235,13930,17498,5866,7951,1319,1695,227,316,175,289
050,36,005,New York,Bronx County,1,13,80762,36658,44104,15610,18375,16775,20889,1026,1174,2076,2077,134,166,1037,1423,16337,19355,17635,22085,1446,1792,2221,2242,209,266,19587,22440,4702,4816,12522,15173,108,128,1904,1911,20,23,331,389,4865,4984,12766,15479,278,348,2009,2009,54,63,17071,21664,10908,13559,4253,5716,918,1046,172,166,114,143,706,1034,11472,14371,4869,6606,1168,1444,212,233,155,203
050,36,005,New York,Bronx County,1,14,62782,27967,34815,12689,15893,12118,15289,677,815,1650,1631,89,142,744,1045,13191,16610,12735,16170,998,1279,1743,1755,138,231,15111,17794,4468,4755,8828,11172,67,92,1526,1485,8,12,214,278,4563,4866,8982,11394,189,257,1589,1551,25,38,12856,17021,8221,11138,3290,4117,610,723,124,146,81,130,530,767,8628,11744,3753,4776,809,1022,154,204,113,193
050,36,005,New York,Bronx County,1,15,49095,20681,28414,10157,13618,8450,12100,441,586,1022,1341,89,90,522,679,10506,14089,8870,12667,683,898,1102,1431,130,138,11229,15126,4026,4568,6054,9022,48,73,938,1246,11,17,152,200,4090,4654,6166,9183,146,198,979,1295,23,34,9452,13288,6131,9050,2396,3078,393,513,84,95,78,73,370,479,6416,9435,2704,3484,537,700,123,136,107,104
050,36,005,New York,Bronx County,1,16,34825,13625,21200,7128,10475,5250,8980,299,405,642,838,36,66,270,436,7302,10783,5468,9337,429,610,687,886,64,101,7486,11399,2940,3635,3818,6804,38,56,600,762,9,20,81,122,2975,3693,3876,6902,84,130,623,789,16,33,6139,9801,4188,6840,1432,2176,261,349,42,76,27,46,189,314,4327,7090,1592,2435,345,480,64,97,48,68
050,36,005,New York,Bronx County,1,17,23863,8832,15031,4778,7816,3259,6015,193,303,392,531,31,42,179,324,4913,8054,3401,6276,271,454,419,565,46,70,4823,8173,2056,3089,2331,4464,21,38,368,486,4,4,43,92,2077,3139,2361,4536,48,89,382,504,8,14,4009,6858,2722,4727,928,1551,172,265,24,45,27,38,136,232,2836,4915,1040,1740,223,365,37,61,38,56
050,36,005,New York,Bronx County,1,18,25145,7577,17568,4309,9532,2642,6734,153,335,330,550,16,51,127,366,4403,9782,2741,7013,201,510,349,593,33,85,4619,10798,2435,5106,1834,5005,23,47,301,495,0,11,26,134,2447,5172,1853,5107,37,133,311,515,4,20,2958,6770,1874,4426,808,1729,130,288,29,55,16,40,101,232,1956,4610,888,1906,164,377,38,78,29,65
050,36,005,New York,Bronx County,2,0,1459323,689582,769741,301453,330865,304653,347933,21007,22560,34118,36233,2915,3275,25436,28875,322004,353778,326386,372876,29690,32826,36572,38946,4272,4887,312520,346137,66493,68130,205810,234808,1946,2219,30638,32478,363,398,7270,8104,71829,73914,211758,241568,4318,5082,31998,33890,790,869,377062,423604,234960,262735,98843,113125,19061,20341,3480,3755,2552,2877,18166,20771,250175,279864,114628,131308,25372,27744,4574,5056,3482,4018
